2025-12-13 11:22:21,039 - INFO - Downloading folder from Google Drive...
2025-12-13 11:23:42,944 - INFO - Download completed. Time taken -> 81.9 seconds
2025-12-13 11:23:43,104 - INFO - Loading table allergies with shape (597, 6)
2025-12-13 11:23:43,285 - INFO - Loaded successfully: allergies, time taken 0.18 seconds
2025-12-13 11:23:43,315 - INFO - Loading table careplans with shape (3483, 9)
2025-12-13 11:23:43,847 - INFO - Loaded successfully: careplans, time taken 0.53 seconds
2025-12-13 11:23:43,882 - INFO - Loading table conditions with shape (8376, 6)
2025-12-13 11:23:44,562 - INFO - Loaded successfully: conditions, time taken 0.68 seconds
2025-12-13 11:23:44,577 - INFO - Loading table devices with shape (78, 7)
2025-12-13 11:23:44,662 - INFO - Loaded successfully: devices, time taken 0.09 seconds
2025-12-13 11:23:44,973 - INFO - Loading table encounters with shape (53346, 15)
2025-12-13 11:23:49,303 - INFO - Loaded successfully: encounters, time taken 4.33 seconds
2025-12-13 11:23:49,332 - INFO - Loading table imaging_studies with shape (855, 10)
2025-12-13 11:23:49,754 - INFO - Loaded successfully: imaging_studies, time taken 0.42 seconds
2025-12-13 11:23:49,814 - INFO - Loading table immunizations with shape (15478, 6)
2025-12-13 11:23:51,744 - INFO - Loaded successfully: immunizations, time taken 1.93 seconds
2025-12-13 11:23:51,955 - INFO - Loading table medications with shape (42989, 13)
2025-12-13 11:23:55,517 - INFO - Loaded successfully: medications, time taken 3.56 seconds
2025-12-13 11:23:56,100 - INFO - Loading table observations with shape (299697, 8)
2025-12-13 11:24:10,974 - INFO - Loaded successfully: observations, time taken 14.87 seconds
2025-12-13 11:24:11,008 - INFO - Loading table organizations with shape (1119, 11)
2025-12-13 11:24:11,391 - INFO - Loaded successfully: organizations, time taken 0.38 seconds
2025-12-13 11:24:11,411 - INFO - Loading table patients with shape (1171, 25)
2025-12-13 11:24:11,940 - INFO - Loaded successfully: patients, time taken 0.53 seconds
2025-12-13 11:24:11,952 - INFO - Loading table payers with shape (10, 21)
2025-12-13 11:24:12,170 - INFO - Loaded successfully: payers, time taken 0.22 seconds
2025-12-13 11:24:12,201 - INFO - Loading table payer_transitions with shape (3801, 5)
2025-12-13 11:24:12,898 - INFO - Loaded successfully: payer_transitions, time taken 0.7 seconds
2025-12-13 11:24:13,004 - INFO - Loading table procedures with shape (34981, 8)
2025-12-13 11:24:15,496 - INFO - Loaded successfully: procedures, time taken 2.49 seconds
2025-12-13 11:24:15,527 - INFO - Loading table providers with shape (5855, 12)
2025-12-13 11:24:16,433 - INFO - Loaded successfully: providers, time taken 0.91 seconds
2025-12-13 11:24:16,433 - INFO - Loading table supplies with shape (0, 6)
2025-12-13 11:24:16,512 - INFO - Loaded successfully: supplies, time taken 0.08 seconds
